Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1,about,A1,prep.; adv.,/əˈbaʊt/,关于；大约；到处,talk about;about time;think about,We talked about our weekend plans after lunch.,午饭后我们聊了周末的计划。,regarding;around,exactly,about 可记成 a + bout：绕着一件事转一圈。
2,above,A1,prep.; adv.,/əˈbʌv/,在……上面；高于,above average;above all;rise above,The clock hangs above the classroom door.,时钟挂在教室门的上方。,over;beyond,below;under,a-bove：把 bove 想成“高处的位置”。
3,across,A1,prep.; adv.,/əˈkrɒs/,穿过；在对面,across the road;come across;walk across,She walked across the quiet street carefully.,她小心地走过那条安静的街道。,over;through,along,across = a + cross，像从十字路口穿过去。
4,act,A1,verb; noun,/ækt/,行动；表演；行为,act quickly;act as;in the act,Please act quickly if you hear the alarm.,若听到警报，请迅速行动。,behave;perform,pause;idle,act 很短，像舞台上一声令下就开始演。
5,activity,A1,noun,/ækˈtɪvəti/,活动；行动,outdoor activity;after-school activity;group activity,The school plans a new outdoor activity this Friday.,学校计划本周五开展新的户外活动。,event;pursuit,inactivity,activity 来自 active：保持活跃就会有活动。
6,actor,A1,noun,/ˈæktə(r)/,男演员；演员,film actor;lead actor;become an actor,He wants to become a film actor one day.,他希望有一天成为电影演员。,performer;player,audience,actor = act + or，做表演动作的人。
7,add,A1,verb,/æd/,添加；增加,add sugar;add up;add to,Please add a little sugar to my tea.,请往我的茶里加点糖。,include;increase,remove;subtract,add 像往杯子里再倒一点进去。
8,address,A1,noun; verb,/əˈdres/,地址；演说；处理,home address;email address;address a problem,Please write your home address on this form.,请在这张表格上填写家庭住址。,location;speech,ignore,address 可记：寄信一定要写对地址。
9,adult,A1,noun; adj.,/ˈædʌlt/,成年人；成年的,young adult;adult ticket;adult life,Only an adult can buy the cinema tickets tonight.,今晚只有成年人可以买电影院的票。,grown-up,child;kid,adult 与 child 相对，想到“长大了”。
10,afraid,A1,adj.,/əˈfreɪd/,害怕的；担心的,afraid of;be afraid;feel afraid,The little boy is afraid of the dark room.,小男孩害怕那间黑暗的房间。,scared;worried,brave;confident,a-fraid：心里发“fra”抖的感觉。
11,after,A1,prep.; conj.; adv.,/ˈɑːftə(r)/,在……之后,after school;after that;look after,We usually play football after school.,我们通常放学后踢足球。,following;later,before,after 和 afternoon 同源：午后就是 after noon。
12,afternoon,A1,noun,/ˌɑːftəˈnuːn/,下午,this afternoon;in the afternoon;good afternoon,Shall we meet this afternoon at the library?,我们今天下午在图书馆见面好吗？,pm,morning,after + noon：中午之后就是下午。
13,again,A1,adv.,/əˈɡen/,再一次；又,try again;once again;come again,Could you say that again more slowly?,你能再说一遍、慢一点吗？,once more;anew,never,again 像回声，事情又来一遍。
14,age,A1,noun,/eɪdʒ/,年龄；时代,at the age of;old age;age group,She started piano lessons at the age of six.,她六岁开始学钢琴。,years;era,youth,age 很短，记住“几岁”就是 age。
15,ago,A1,adv.,/əˈɡəʊ/,以前,years ago;long ago;a week ago,I met her at a party two years ago.,两年前我在一次聚会上遇见她。,previously;before,henceforth,a-go：时间已经走远了。
16,agree,A1,verb,/əˈɡriː/,同意；达成一致,agree with;agree to;agree on,I agree with your idea about the trip.,我同意你关于这次旅行的想法。,accept;consent,disagree;refuse,agree 里有 gree，像 green 一样“谈妥了很顺”。
17,air,A1,noun,/eə(r)/,空气；空中,fresh air;by air;in the air,Let's open the window for some fresh air.,我们开窗透透新鲜空气吧。,atmosphere;breeze,ground,air 读起来轻飘飘，像空气。
18,airport,A1,noun,/ˈeəpɔːt/,机场,at the airport;airport taxi;international airport,We will meet you at the airport tomorrow morning.,我们明天早上在机场接你。,airfield;terminal,harbour,air + port：空中的港口就是机场。
19,all,A1,det.; pron.; adv.,/ɔːl/,全部；所有,all day;all of;above all,They spent all day cleaning the flat.,他们花了一整天打扫公寓。,every;entire,none;some,all 开口很大，像把一切都包进去。
20,almost,A1,adv.,/ˈɔːlməʊst/,几乎；差不多,almost ready;almost always;almost there,"Dinner is almost ready, so please wash your hands.",晚饭差不多好了，请去洗手。,nearly;practically,completely;exactly,almost = all + most：还差一点点就全部。
21,alone,A1,adj.; adv.,/əˈləʊn/,独自的；单独地,live alone;leave alone;feel alone,She prefers to study alone in the quiet room.,她更喜欢在安静的房间里独自学习。,solo;lonely,together,alone 与 along 易混：alone 是一个人。
22,along,A1,prep.; adv.,/əˈlɒŋ/,沿着；一起,along the river;come along;walk along,We walked along the river after dinner.,晚饭后我们沿着河边散步。,beside;onward,across,a-long：顺着一条长线往前走。
23,already,A1,adv.,/ɔːlˈredi/,已经,already know;already done;have already,I have already finished my homework today.,我今天已经做完作业了。,previously;by now,not yet,al-ready：已经准备好了。
24,also,A1,adv.,/ˈɔːlsəʊ/,也；同样,also like;not only...also;can also,She can also speak a little French.,她也会说一点法语。,too;as well,neither,also 放句中，表示“另外还有”。
25,always,A1,adv.,/ˈɔːlweɪz/,总是；永远,always late;always remember;almost always,He always drinks coffee in the morning.,他早上总是喝咖啡。,forever;constantly,never;rarely,all + ways：所有路上都会发生。
26,and,A1,conj.,/ænd/,和；并且,bread and butter;and then;come and see,Please buy bread and milk on your way home.,回家路上请买面包和牛奶。,plus;as well as,or;but,and 像连接两节火车车厢。
27,angry,A1,adj.,/ˈæŋɡri/,生气的,angry with;get angry;angry about,Don't get angry with him about the mistake.,别为这个错误对他生气。,mad;annoyed,calm;pleased,angry 发音里有 ang，像心里拧着。
28,animal,A1,noun,/ˈænɪml/,动物,wild animal;farm animal;animal hospital,The children love looking at farm animals.,孩子们喜欢看农场里的动物。,creature;beast,plant,animal 可拆成 ani-mal，想到活物。
29,another,A1,det.; pron.,/əˈnʌðə(r)/,另一个；再一,another day;one another;another one,"Could I have another cup of tea, please?",请再给我一杯茶好吗？,additional;other,same,an + other：另外一个 other。
30,answer,A1,noun; verb,/ˈɑːnsə(r)/,答案；回答,answer the phone;give an answer;correct answer,Please answer the phone when it rings.,电话铃响时请接一下。,reply;response,question;ask,answer 对 question：问完就要答。
31,any,A1,det.; pron.; adv.,/ˈeni/,任何；一些（否定/疑问）,any questions;anyone;not any,Do you have any questions about the lesson?,关于这节课你有什么问题吗？,some;whatever,none,any 在问句里常表“有没有一些”。
32,anyone,A1,pron.,/ˈeniwʌn/,任何人,anyone else;anyone can;if anyone,Anyone can join the club after school.,放学后任何人都可以加入这个俱乐部。,anybody;whoever,no one,any + one：任意某一个人。
33,anything,A1,pron.,/ˈeniθɪŋ/,任何事物,anything else;not anything;say anything,Is there anything else you need from the shop?,你还需要从店里买别的东西吗？,something;whatever,nothing,any + thing：任意一件东西。
34,apple,A1,noun,/ˈæpl/,苹果,red apple;apple juice;apple pie,She packed a red apple in her lunch box.,她在午餐盒里放了一个红苹果。,fruit,,apple 很常见，想到苹果手机也容易记。
35,April,A1,noun,/ˈeɪprəl/,四月,in April;early April;April weather,Her birthday is in early April this year.,她今年的生日在四月初。,month,,A-pril：春天四月的 A 开头月份。
36,area,A1,noun,/ˈeəriə/,地区；面积；领域,local area;play area;in the area,There is a new park in our local area.,我们本地新开了一座公园。,region;zone,point,area 像一片开阔地带。
37,arm,A1,noun,/ɑːm/,手臂；扶手,left arm;arm in arm;break an arm,He hurt his left arm during the football match.,他在足球比赛中伤了左臂。,limb,,arm 短，抬起手臂就能感觉到。
38,around,A1,adv.; prep.,/əˈraʊnd/,周围；大约,look around;around the city;around six,We walked around the city for two hours.,我们在城里转了两个小时。,about;nearby,straight,a-round：绕着圆圈走。
39,arrive,A1,verb,/əˈraɪv/,到达,arrive at;arrive in;arrive home,The train will arrive at the station at noon.,火车将在中午到达车站。,reach;come,leave;depart,arrive 与 leave 相对：到站 vs 离站。
40,art,A1,noun,/ɑːt/,艺术；美术,art class;modern art;work of art,She takes an art class every Wednesday.,她每周三上美术课。,painting;craft,,art 短而响亮，像画室里的一声。
41,ask,A1,verb,/ɑːsk/,问；请求,ask a question;ask for;ask about,You can ask the teacher if you need help.,需要帮助时可以问老师。,enquire;request,answer;tell,ask 嘴一张就发出请求。
42,at,A1,prep.,/æt/,在；朝；以,at home;at school;look at,I usually have breakfast at home.,我通常在家吃早餐。,in;by,,at 点状位置：在某一点。
43,August,A1,noun,/ˈɔːɡəst/,八月,in August;late August;August holiday,We usually travel in late August.,我们通常在八月下旬旅行。,month,,August 像夏天尾巴的月份。
44,aunt,A1,noun,/ɑːnt/,姑妈；姨妈；婶婶,my aunt;aunt and uncle;visit my aunt,My aunt lives near the train station.,我姨妈住在火车站附近。,relative,,aunt 与 uncle 成对记。
45,autumn,A1,noun,/ˈɔːtəm/,秋天（英式）,in autumn;autumn leaves;autumn term,The leaves turn brown in autumn.,秋天树叶变成褐色。,fall;season,spring,英式用 autumn，美式常说 fall。
46,away,A1,adv.,/əˈweɪ/,离开；不在,go away;far away;put away,Please put your books away after class.,下课后请把书收好。,off;absent,here;near,a-way：走向远处。
